Pregunta_ID,Modulo,Tema,Nivel,Tipo_Relacion,Pregunta,Respuesta_1,Respuesta_2,Respuesta_3,Respuesta_4,Respuesta_Correcta,Estado,Fuente_ID,Evaluacion_ID,Estado_Validacion,Estado_Uso
PAT_00001,Patologias,Caída de cabello (Alopecia),Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Caída de cabello (Alopecia).,Puede estar asociada principalmente a Espolón calcáneo / dolor de talón (fascitis plantar asociada),Puede estar asociada a Androgenética (DHT),Se relaciona principalmente con Insomnio,Se relaciona con Disminución de densidad,"2,4",APROBADA,P001,,,
PAT_00002,Patologias,Salud prostática / Molestias prostáticas,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Salud prostática / Molestias prostáticas.,Se relaciona con Chorro débil,"Puede estar asociada principalmente a Dolor muscular, contracturas y molestias musculoesqueléticas localizadas",Puede estar asociada a Hiperplasia prostática benigna,Se relaciona principalmente con Quistes ováricos funcionales,"1,3",APROBADA,P002,,,
PAT_00003,Patologias,Disfunción sexual masculina / Dificultad para la erección,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Disfunción sexual masculina / Dificultad para la erección.,Puede estar asociada a Estrés o ansiedad,Se relaciona principalmente con Perimenopausia / Menopausia,Puede estar asociada principalmente a Endometriosis,Se relaciona con Disminución de la libido,"1,4",APROBADA,P003,,,
PAT_00004,Patologias,Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*),Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*).,Puede estar asociada principalmente a Ciática / Lumbalgia,Se relaciona con Disminución de la libido,Puede estar asociada a Envejecimiento,Se relaciona principalmente con Insomnio,"2,3",APROBADA,P004,,,
PAT_00005,Patologias,Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Control glucémico (Diabetes mellitus tipo 2 / Prediabetes).,Se relaciona con Diagnóstico de diabetes o prediabetes,Puede estar asociada a Resistencia a la insulina,Puede estar asociada principalmente a Artritis inflamatoria,Se relaciona principalmente con Quistes ováricos funcionales,"1,2",APROBADA,P005,,,
PAT_00006,Patologias,Perimenopausia / Menopausia,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Perimenopausia / Menopausia.,Se relaciona con Alteraciones menstruales,Puede estar asociada a Disminución fisiológica de estrógenos y progesterona,Puede estar asociada principalmente a Espolón calcáneo / dolor de talón (fascitis plantar asociada),Se relaciona principalmente con Insomnio,"1,2",APROBADA,P006,,,
PAT_00007,Patologias,Insomnio,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Insomnio.,Se relaciona principalmente con Ciática / Lumbalgia,Puede estar asociada a Estrés,Se relaciona con Dificultad para conciliar el sueño,Puede estar asociada principalmente a Osteoporosis,"2,3",APROBADA,P007,,,
PAT_00008,Patologias,Varicocele (Apoyo a la salud vascular y reproductiva masculina),Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Varicocele (Apoyo a la salud vascular y reproductiva masculina).,Puede estar asociada principalmente a Disfunción sexual masculina / Dificultad para la erección,Puede estar asociada a Insuficiencia de las válvulas venosas del cordón espermático,Se relaciona con Diagnóstico médico de varicocele,Se relaciona principalmente con Perimenopausia / Menopausia,"2,3",APROBADA,P008,,,
PAT_00009,Patologias,Bienestar íntimo femenino y función sexual,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Bienestar íntimo femenino y función sexual.,Puede estar asociada a Disminución de estrógenos (perimenopausia/menopausia),Puede estar asociada principalmente a Disfunción sexual masculina / Dificultad para la erección,Se relaciona con Disminución de la libido,Se relaciona principalmente con Síndrome de Ovario Poliquístico (SOP),"1,3",APROBADA,P009,,,
PAT_00010,Patologias,Apoyo a la salud reproductiva femenina y planificación del embarazo,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Apoyo a la salud reproductiva femenina y planificación del embarazo.,Se relaciona principalmente con Bienestar íntimo femenino y función sexual,Se relaciona con Dificultad para lograr embarazo,Puede estar asociada principalmente a Perimenopausia / Menopausia,"Puede estar asociada a Déficit nutricional (ácido fólico, hierro, zinc, vitamina D)","2,4",APROBADA,P010,,,
PAT_00011,Patologias,Síndrome de Ovario Poliquístico (SOP),Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Síndrome de Ovario Poliquístico (SOP).,Se relaciona con Menstruaciones irregulares o ausencia de menstruación,Puede estar asociada principalmente a Varicocele (Apoyo a la salud vascular y reproductiva masculina),Se relaciona principalmente con Artritis inflamatoria,Puede estar asociada a Predisposición genética,"1,4",APROBADA,P011,,,
PAT_00012,Patologias,Quistes ováricos funcionales,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Quistes ováricos funcionales.,Se relaciona con Dolor pélvico unilateral,Puede estar asociada principalmente a Disfunción sexual masculina / Dificultad para la erección,Puede estar asociada a Cambios normales del ciclo ovulatorio,Se relaciona principalmente con Salud prostática / Molestias prostáticas,"1,3",APROBADA,P012,,,
PAT_00013,Patologias,Endometriosis,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Endometriosis.,Puede estar asociada principalmente a Salud prostática / Molestias prostáticas,Se relaciona principalmente con Artritis inflamatoria,Puede estar asociada a Predisposición genética,Se relaciona con Dolor menstrual intenso,"3,4",APROBADA,P013,,,
PAT_00014,Patologias,Osteoporosis,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Osteoporosis.,Puede estar asociada principalmente a Síndrome de Ovario Poliquístico (SOP),Puede estar asociada a Envejecimiento,Se relaciona principalmente con Salud prostática / Molestias prostáticas,Se relaciona con Dolor de espalda frecuente,"2,4",APROBADA,P014,,,
PAT_00015,Patologias,Artrosis (desgaste articular / osteoartritis),Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Artrosis (desgaste articular / osteoartritis).,"Puede estar asociada principalmente a Dolor muscular, contracturas y molestias musculoesqueléticas localizadas",Puede estar asociada a Envejecimiento,Se relaciona principalmente con Ciática / Lumbalgia,"Se relaciona con Dolor en rodillas, cadera, manos o columna","2,4",APROBADA,P015,,,
PAT_00016,Patologias,Artritis inflamatoria,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Artritis inflamatoria.,Se relaciona con Dolor articular,Se relaciona principalmente con Síndrome de Ovario Poliquístico (SOP),Puede estar asociada principalmente a Disfunción sexual masculina / Dificultad para la erección,Puede estar asociada a Alteraciones del sistema inmunológico,"1,4",APROBADA,P016,,,
PAT_00017,Patologias,Ciática / Lumbalgia,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Ciática / Lumbalgia.,Se relaciona principalmente con Bienestar íntimo femenino y función sexual,Puede estar asociada principalmente a Disfunción sexual masculina / Dificultad para la erección,Se relaciona con Dolor lumbar,Puede estar asociada a Sobrecarga física,"3,4",APROBADA,P017,,,
PAT_00018,Patologias,"Dolor muscular, contracturas y molestias musculoesqueléticas localizadas",Nivel 2,Sintoma_Causa_Patologia,"Seleccione las DOS afirmaciones que se relacionan correctamente con Dolor muscular, contracturas y molestias musculoesqueléticas localizadas.",Puede estar asociada principalmente a Disfunción sexual masculina / Dificultad para la erección,Se relaciona principalmente con Salud prostática / Molestias prostáticas,Puede estar asociada a Esfuerzo físico,Se relaciona con Dolor localizado,"3,4",APROBADA,P018,,,
PAT_00019,Patologias,Fibromialgia,Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Fibromialgia.,Se relaciona con Dolor generalizado en diferentes zonas del cuerpo,Puede estar asociada principalmente a Espolón calcáneo / dolor de talón (fascitis plantar asociada),Puede estar asociada a Alteraciones en la percepción del dolor,"Se relaciona principalmente con Dolor muscular, contracturas y molestias musculoesqueléticas localizadas","1,3",APROBADA,P019,,,
PAT_00020,Patologias,Espolón calcáneo / dolor de talón (fascitis plantar asociada),Nivel 2,Sintoma_Causa_Patologia,Seleccione las DOS afirmaciones que se relacionan correctamente con Espolón calcáneo / dolor de talón (fascitis plantar asociada).,Se relaciona con Dolor en el talón al dar los primeros pasos,Puede estar asociada a Sobrecarga del pie,Se relaciona principalmente con Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),Puede estar asociada principalmente a Perimenopausia / Menopausia,"1,2",APROBADA,P020,,,
PAT_00021,Patologias,Caída de cabello (Alopecia),Nivel 2,Descripcion_Causa,Considere Caída de cabello (Alopecia). La descripción es: Pérdida de densidad o volumen del cabello; puede ser temporal o progresiva según la causa. y uno de los factores relacionados es Androgenética (DHT). Seleccione las DOS afirmaciones correctas.,El factor indicado no se relaciona con esta patología.,Una causa o factor relacionado es Androgenética (DHT).,La descripción corresponde principalmente a otra condición.,La descripción corresponde a Caída de cabello (Alopecia).,"2,4",APROBADA,P001,,,
PAT_00022,Patologias,Caída de cabello (Alopecia),Nivel 2,Descripcion_Sintomas,Considere la patología Caída de cabello (Alopecia). Su descripción es: Pérdida de densidad o volumen del cabello; puede ser temporal o progresiva según la causa. y presenta señales como Disminución de densidad; entradas; afinamiento; caída difusa; picazón/caspa; cuero cabelludo sensible; cambios en uñas; fatiga.. Seleccione las DOS afirmaciones correctas.,La descripción corresponde a Caída de cabello (Alopecia).,Las señales indicadas son compatibles con Caída de cabello (Alopecia).,La descripción corresponde a una condición diferente.,Las señales indicadas no son compatibles con esta patología.,"1,2",APROBADA,P001,,,
PAT_00023,Patologias,Caída de cabello (Alopecia),Nivel 2,Sintomas_Causa,"En relación con Caída de cabello (Alopecia), considere la señal Disminución de densidad y el factor Androgenética (DHT). Seleccione las DOS afirmaciones correctas.",Disminución de densidad corresponde principalmente a otra condición.,Androgenética (DHT) corresponde exclusivamente a otra patología.,Androgenética (DHT) puede estar relacionada con Caída de cabello (Alopecia).,Disminución de densidad puede presentarse en Caída de cabello (Alopecia).,"3,4",APROBADA,P001,,,
PAT_00024,Patologias,Salud prostática / Molestias prostáticas,Nivel 2,Descripcion_Sintomas,"Considere la patología Salud prostática / Molestias prostáticas. Su descripción es: Alteraciones de la próstata que pueden afectar la micción, producir inflamación o molestias y, en algunos casos, asociarse con cambios en la función sexual. y presenta señales como Chorro débil; aumento de la frecuencia urinaria; levantarse varias veces en la noche; dificultad para iniciar la micción; sensación de vaciamiento incompleto; goteo postmiccional; ardor al orinar; dolor pélvico; dolor al eyacular; disminución de la libido; dificultad para lograr o mantener la erección.. Seleccione las DOS afirmaciones correctas.",La descripción corresponde a una condición diferente.,La descripción corresponde a Salud prostática / Molestias prostáticas.,Las señales indicadas no son compatibles con esta patología.,Las señales indicadas son compatibles con Salud prostática / Molestias prostáticas.,"2,4",APROBADA,P002,,,
PAT_00025,Patologias,Salud prostática / Molestias prostáticas,Nivel 2,Descripcion_Causa,"Considere Salud prostática / Molestias prostáticas. La descripción es: Alteraciones de la próstata que pueden afectar la micción, producir inflamación o molestias y, en algunos casos, asociarse con cambios en la función sexual. y uno de los factores relacionados es Hiperplasia prostática benigna. Seleccione las DOS afirmaciones correctas.",Una causa o factor relacionado es Hiperplasia prostática benigna.,La descripción corresponde a Salud prostática / Molestias prostáticas.,La descripción corresponde principalmente a otra condición.,El factor indicado no se relaciona con esta patología.,"1,2",APROBADA,P002,,,
PAT_00026,Patologias,Salud prostática / Molestias prostáticas,Nivel 2,Sintomas_Causa,"En relación con Salud prostática / Molestias prostáticas, considere la señal Chorro débil y el factor Hiperplasia prostática benigna. Seleccione las DOS afirmaciones correctas.",Hiperplasia prostática benigna corresponde exclusivamente a otra patología.,Hiperplasia prostática benigna puede estar relacionada con Salud prostática / Molestias prostáticas.,Chorro débil corresponde principalmente a otra condición.,Chorro débil puede presentarse en Salud prostática / Molestias prostáticas.,"2,4",APROBADA,P002,,,
PAT_00027,Patologias,Disfunción sexual masculina / Dificultad para la erección,Nivel 2,Descripcion_Causa,"Considere Disfunción sexual masculina / Dificultad para la erección. La descripción es: Dificultad persistente para lograr o mantener una erección suficiente para una relación sexual satisfactoria. Puede estar relacionada con factores físicos, hormonales, circulatorios, prostáticos o emocionales. y uno de los factores relacionados es Estrés o ansiedad. Seleccione las DOS afirmaciones correctas.",La descripción corresponde a Disfunción sexual masculina / Dificultad para la erección.,La descripción corresponde principalmente a otra condición.,El factor indicado no se relaciona con esta patología.,Una causa o factor relacionado es Estrés o ansiedad.,"1,4",APROBADA,P003,,,
PAT_00028,Patologias,Disfunción sexual masculina / Dificultad para la erección,Nivel 2,Descripcion_Sintomas,"Considere la patología Disfunción sexual masculina / Dificultad para la erección. Su descripción es: Dificultad persistente para lograr o mantener una erección suficiente para una relación sexual satisfactoria. Puede estar relacionada con factores físicos, hormonales, circulatorios, prostáticos o emocionales. y presenta señales como Disminución de la libido; dificultad para lograr la erección; dificultad para mantenerla; erecciones menos firmes; disminución del deseo sexual; fatiga.. Seleccione las DOS afirmaciones correctas.",La descripción corresponde a Disfunción sexual masculina / Dificultad para la erección.,La descripción corresponde a una condición diferente.,Las señales indicadas no son compatibles con esta patología.,Las señales indicadas son compatibles con Disfunción sexual masculina / Dificultad para la erección.,"1,4",APROBADA,P003,,,
PAT_00029,Patologias,Disfunción sexual masculina / Dificultad para la erección,Nivel 2,Sintomas_Causa,"En relación con Disfunción sexual masculina / Dificultad para la erección, considere la señal Disminución de la libido y el factor Estrés o ansiedad. Seleccione las DOS afirmaciones correctas.",Estrés o ansiedad puede estar relacionada con Disfunción sexual masculina / Dificultad para la erección.,Disminución de la libido corresponde principalmente a otra condición.,Estrés o ansiedad corresponde exclusivamente a otra patología.,Disminución de la libido puede presentarse en Disfunción sexual masculina / Dificultad para la erección.,"1,4",APROBADA,P003,,,
PAT_00030,Patologias,Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*),Nivel 2,Descripcion_Causa,"Considere Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*). La descripción es: Disminución de la energía, la fuerza, el deseo sexual o el rendimiento físico que puede estar relacionada con la edad, el estilo de vida, deficiencias nutricionales o alteraciones hormonales. y uno de los factores relacionados es Envejecimiento. Seleccione las DOS afirmaciones correctas.",El factor indicado no se relaciona con esta patología.,La descripción corresponde principalmente a otra condición.,Una causa o factor relacionado es Envejecimiento.,La descripción corresponde a Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*).,"3,4",APROBADA,P004,,,
PAT_00031,Patologias,Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*),Nivel 2,Sintomas_Causa,"En relación con Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*), considere la señal Disminución de la libido y el factor Envejecimiento. Seleccione las DOS afirmaciones correctas.",Disminución de la libido corresponde principalmente a otra condición.,Disminución de la libido puede presentarse en Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*).,Envejecimiento corresponde exclusivamente a otra patología.,Envejecimiento puede estar relacionada con Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*).,"2,4",APROBADA,P004,,,
PAT_00032,Patologias,Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*),Nivel 2,Descripcion_Sintomas,"Considere la patología Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*). Su descripción es: Disminución de la energía, la fuerza, el deseo sexual o el rendimiento físico que puede estar relacionada con la edad, el estilo de vida, deficiencias nutricionales o alteraciones hormonales. y presenta señales como Disminución de la libido; fatiga persistente; pérdida de fuerza; disminución de masa muscular; recuperación lenta después del ejercicio; menor rendimiento físico; aumento de grasa abdominal; disminución de la motivación o vitalidad; erecciones matutinas menos frecuentes.. Seleccione las DOS afirmaciones correctas.",La descripción corresponde a Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*).,La descripción corresponde a una condición diferente.,Las señales indicadas no son compatibles con esta patología.,Las señales indicadas son compatibles con Vitalidad masculina y apoyo hormonal (Hipogonadismo / Deficiencia de testosterona*).,"1,4",APROBADA,P004,,,
PAT_00033,Patologias,Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),Nivel 2,Descripcion_Causa,Considere Control glucémico (Diabetes mellitus tipo 2 / Prediabetes). La descripción es: Alteración del metabolismo de la glucosa que ocasiona niveles elevados de azúcar en sangre o dificultad para mantenerlos dentro de rangos normales. y uno de los factores relacionados es Resistencia a la insulina. Seleccione las DOS afirmaciones correctas.,El factor indicado no se relaciona con esta patología.,La descripción corresponde a Control glucémico (Diabetes mellitus tipo 2 / Prediabetes).,Una causa o factor relacionado es Resistencia a la insulina.,La descripción corresponde principalmente a otra condición.,"2,3",APROBADA,P005,,,
PAT_00034,Patologias,Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),Nivel 2,Descripcion_Sintomas,Considere la patología Control glucémico (Diabetes mellitus tipo 2 / Prediabetes). Su descripción es: Alteración del metabolismo de la glucosa que ocasiona niveles elevados de azúcar en sangre o dificultad para mantenerlos dentro de rangos normales. y presenta señales como Diagnóstico de diabetes o prediabetes; glucosa elevada; sed excesiva; aumento de la frecuencia urinaria; hambre constante; fatiga; visión borrosa; cicatrización lenta; hormigueo o adormecimiento en manos o pies; infecciones frecuentes; sobrepeso u obesidad abdominal.. Seleccione las DOS afirmaciones correctas.,Las señales indicadas son compatibles con Control glucémico (Diabetes mellitus tipo 2 / Prediabetes).,La descripción corresponde a una condición diferente.,La descripción corresponde a Control glucémico (Diabetes mellitus tipo 2 / Prediabetes).,Las señales indicadas no son compatibles con esta patología.,"1,3",APROBADA,P005,,,
PAT_00035,Patologias,Control glucémico (Diabetes mellitus tipo 2 / Prediabetes),Nivel 2,Sintomas_Causa,"En relación con Control glucémico (Diabetes mellitus tipo 2 / Prediabetes), considere la señal Diagnóstico de diabetes o prediabetes y el factor Resistencia a la insulina. Seleccione las DOS afirmaciones correctas.",Resistencia a la insulina corresponde exclusivamente a otra patología.,Diagnóstico de diabetes o prediabetes corresponde principalmente a otra condición.,Diagnóstico de diabetes o prediabetes puede presentarse en Control glucémico (Diabetes mellitus tipo 2 / Prediabetes).,Resistencia a la insulina puede estar relacionada con Control glucémico (Diabetes mellitus tipo 2 / Prediabetes).,"3,4",APROBADA,P005,,,
PAT_00036,Patologias,Perimenopausia / Menopausia,Nivel 2,Descripcion_Sintomas,"Considere la patología Perimenopausia / Menopausia. Su descripción es: Etapa de transición hormonal caracterizada por la disminución progresiva de estrógenos, que puede afectar la salud física, emocional, metabólica, ósea, urinaria y sexual de la mujer. y presenta señales como Alteraciones menstruales; sofocos; sudoración nocturna; cambios del estado de ánimo; insomnio; disminución de la libido; resequedad vaginal; aumento de peso; caída del cabello; cambios en la piel; dolor articular; fatiga; infecciones urinarias recurrentes.. Seleccione las DOS afirmaciones correctas.",La descripción corresponde a Perimenopausia / Menopausia.,La descripción corresponde a una condición diferente.,Las señales indicadas no son compatibles con esta patología.,Las señales indicadas son compatibles con Perimenopausia / Menopausia.,"1,4",APROBADA,P006,,,
PAT_00037,Patologias,Perimenopausia / Menopausia,Nivel 2,Sintomas_Causa,"En relación con Perimenopausia / Menopausia, considere la señal Alteraciones menstruales y el factor Disminución fisiológica de estrógenos y progesterona. Seleccione las DOS afirmaciones correctas.",Alteraciones menstruales corresponde principalmente a otra condición.,Disminución fisiológica de estrógenos y progesterona puede estar relacionada con Perimenopausia / Menopausia.,Disminución fisiológica de estrógenos y progesterona corresponde exclusivamente a otra patología.,Alteraciones menstruales puede presentarse en Perimenopausia / Menopausia.,"2,4",APROBADA,P006,,,
PAT_00038,Patologias,Perimenopausia / Menopausia,Nivel 2,Descripcion_Causa,"Considere Perimenopausia / Menopausia. La descripción es: Etapa de transición hormonal caracterizada por la disminución progresiva de estrógenos, que puede afectar la salud física, emocional, metabólica, ósea, urinaria y sexual de la mujer. y uno de los factores relacionados es Disminución fisiológica de estrógenos y progesterona. Seleccione las DOS afirmaciones correctas.",Una causa o factor relacionado es Disminución fisiológica de estrógenos y progesterona.,La descripción corresponde a Perimenopausia / Menopausia.,La descripción corresponde principalmente a otra condición.,El factor indicado no se relaciona con esta patología.,"1,2",APROBADA,P006,,,
PAT_00039,Patologias,Insomnio,Nivel 2,Descripcion_Causa,"Considere Insomnio. La descripción es: Dificultad para conciliar el sueño, permanecer dormido o lograr un descanso reparador, afectando el bienestar físico, mental y emocional. y uno de los factores relacionados es Estrés. Seleccione las DOS afirmaciones correctas.",El factor indicado no se relaciona con esta patología.,Una causa o factor relacionado es Estrés.,La descripción corresponde a Insomnio.,La descripción corresponde principalmente a otra condición.,"2,3",APROBADA,P007,,,
PAT_00040,Patologias,Insomnio,Nivel 2,Sintomas_Causa,"En relación con Insomnio, considere la señal Dificultad para conciliar el sueño y el factor Estrés. Seleccione las DOS afirmaciones correctas.",Estrés puede estar relacionada con Insomnio.,Dificultad para conciliar el sueño corresponde principalmente a otra condición.,Estrés corresponde exclusivamente a otra patología.,Dificultad para conciliar el sueño puede presentarse en Insomnio.,"1,4",APROBADA,P007,,,
