Producto,Componente,Acciones
FITO ACEITE DE COCO MASAJES X 240 ML,Aceite de coco,Reducción de pérdida proteica en cabello
FITO AJO PROMOCION 100 + 100 PERLAS,Ajo concentrado,Apoyo en presión arterial
FITO AJO PROMOCION 100 + 100 PERLAS,Ajo concentrado,Mejora función vascular
FITO AJO PROMOCION 100 + 100 PERLAS,Ajo concentrado,Acción antioxidante
FITO AJO PROMOCION 100 + 100 PERLAS,Ajo concentrado,Acción antimicrobiana natural
FITO AJO PROMOCION 100 + 100 PERLAS,Ajo concentrado,Apoyo inmunológico
FITO AJO PROMOCION 100 + 100 PERLAS,Ajo concentrado,Apoyo antiparasitario intestinal
FITO ALCACHOFA x 100 CAP,Alcachofa (Cynara scolymus),Apoyo a función hepática
FITO ALCACHOFA x 100 CAP,Alcachofa (Cynara scolymus),Estimulación de flujo biliar
FITO ALCACHOFA x 100 CAP,Alcachofa (Cynara scolymus),Mejora digestión de grasas
FITO ALCACHOFA x 100 CAP,Alcachofa (Cynara scolymus),Apoyo en control de colesterol y triglicéridos
FITO ALCACHOFA x 100 CAP,Alcachofa (Cynara scolymus),Coadyuvante en procesos de limpieza
FITO ALCACHOFA x 100 CAP,Alcachofa (Cynara scolymus),Apoyo indirecto en piel (acné/manchas) cuando hay sobrecarga hepática
FITO ARTRIFIT x 30 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Acción antiinflamatoria natural
FITO ARTRIFIT x 30 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Apoyo en dolor e inflamación articular
FITO ARTRIFIT x 30 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Mejora rigidez y movilidad
FITO ARTRIFIT x 30 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Coadyuvante en enfermedades reumáticas
FITO ARTRIFIT x 30 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Beneficios progresivos con uso continuo (2–3 meses)
FITO ARTRIFIT x 60 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Acción antiinflamatoria natural
FITO ARTRIFIT x 60 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Apoyo en dolor e inflamación articular
FITO ARTRIFIT x 60 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Mejora rigidez y movilidad
FITO ARTRIFIT x 60 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Coadyuvante en enfermedades reumáticas
FITO ARTRIFIT x 60 CAP,Extracto seco de Harpagofito (Harpagophytum procumbens),Beneficios progresivos con uso continuo (2–3 meses)
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Alta concentración multicepa (50 billones garantizados)
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Repoblación y equilibrio de microbiota intestinal
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Apoyo en disbiosis y confort digestivo
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Regulación del tránsito intestinal
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Modulación inmunológica intestinal
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Apoyo en salud vaginal
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Apoyo en infecciones urinarias recurrentes (equilibrio microbiota urogenital)
FITO BIOTICS X 30 CAP,"Probióticos + prebióticos (50 billones por cápsula, 16 cepas). Lactobacillus: acidophilus, plantarum, casei, paracasei, bulgaricus, brevis, reuteri, salivarius, fermentum, rhamnosus. Bifidobacterium: lactis, infantis, bifidum, breve, longum.",Apoyo indirecto en piel cuando hay disbiosis
FITO BLOQ TOS X 240 ML,Extracto al 50% de jugo y mucílago de sábila (Aloe vera),Acción demulcente protectora de mucosas
FITO BLOQ TOS X 240 ML,Extracto al 50% de jugo y mucílago de sábila (Aloe vera),Alivio de tos seca e irritativa
FITO BLOQ TOS X 240 ML,Extracto al 50% de jugo y mucílago de sábila (Aloe vera),Hidratación y suavización de garganta
FITO BLOQ TOS X 240 ML,Extracto al 50% de jugo y mucílago de sábila (Aloe vera),Apoyo en expulsión de flema ligera
FITO BLOQ TOS X 240 ML,Extracto al 50% de jugo y mucílago de sábila (Aloe vera),Disminución de sensación de ardor o carraspeo
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,SPF 60,Protección solar de amplio espectro UVA/UVB
FITO CALENDULA FITO X 100 CAP,Calendula officinalis,Apoyo antiinflamatorio de mucosa gástrica
FITO CALENDULA FITO X 100 CAP,Calendula officinalis,Coadyuvante en gastritis leve e irritación digestiva
FITO CALENDULA FITO X 100 CAP,Calendula officinalis,Apoyo en inflamación leve sistémica
FITO CALENDULA FITO X 100 CAP,Calendula officinalis,Apoyo en irritación intestinal
FITO CALENDULA FITO X 100 CAP,Calendula officinalis,Apoyo en bienestar femenino (cólicos leves)
FITO CALENDULA FITO X 100 CAP,Calendula officinalis,Apoyo en procesos inflamatorios de piel (coadyuvante)
FITO CALENDULA FITO X 100 CAP,Calendula officinalis,Apoyo en inflamación de mucosa oral (encías).
FITO CALGEL x 120 GR (CALIENTE),Capsicum,Efecto calor analgésico local
FITO CALGEL x 120 GR (CALIENTE),Harpagofito,Acción antiinflamatoria tópica
FITO CALGEL x 120 GR (CALIENTE),Apitoxina,Acción antiinflamatoria tópica
FITO CALGEL x 120 GR (CALIENTE),Castaño de indias,Apoyo en microcirculación local
FITO CALGEL x 120 GR (CALIENTE),Hamamelis,Apoyo en microcirculación local
FITO CALGEL x 120 GR (CALIENTE),Aloe vera,como calmante cutáneo
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Protección de células hepáticas
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Acción antioxidante hepática
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Apoyo en hígado graso
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Apoyo en procesos de desintoxicación hepática
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Apoyo en recuperación funcional del hígado
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Protección frente a daño por medicamentos o alcohol
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Apoyo indirecto en digestión de grasas
FITO CARDOMARIANO X 60 CAP,"Extracto estandarizado de Cardo mariano (80% Silimarina, 150 mg por cápsula, extracto 10:1)",Apoyo metabólico que puede contribuir al control de colesterol y triglicéridos (coadyuvante).
FITO CASTAÑO DE INDIAS x 60 CAP,Extracto seco 20:1 de Castaño de Indias (300 mg) con mínimo 3% de escinas,Mejora el tono venoso
FITO CASTAÑO DE INDIAS x 60 CAP,Extracto seco 20:1 de Castaño de Indias (300 mg) con mínimo 3% de escinas,Disminuye permeabilidad capilar
FITO CASTAÑO DE INDIAS x 60 CAP,Extracto seco 20:1 de Castaño de Indias (300 mg) con mínimo 3% de escinas,Reduce pesadez y dolor en piernas
FITO CASTAÑO DE INDIAS x 60 CAP,Extracto seco 20:1 de Castaño de Indias (300 mg) con mínimo 3% de escinas,Apoyo en edema leve (hinchazón)
FITO CASTAÑO DE INDIAS x 60 CAP,Extracto seco 20:1 de Castaño de Indias (300 mg) con mínimo 3% de escinas,Apoyo en várices y arañitas
FITO CASTAÑO DE INDIAS x 60 CAP,Extracto seco 20:1 de Castaño de Indias (300 mg) con mínimo 3% de escinas,Apoyo en hemorroides (coadyuvante)
FITO CASTAÑO DE INDIAS x 60 CAP,Extracto seco 20:1 de Castaño de Indias (300 mg) con mínimo 3% de escinas,Apoyo en celulitis asociada a mala circulación.
FITO COLÁGENO MARINO HIDROLIZADO + MAGNESIO X 90 CAP,Magnesio,para relajación muscular y reducción de calambres.
FITO COLÁGENO MARINO PLUS x 400 GR,Vitamina C,como cofactor clave para estimular síntesis natural de colágeno
FITO COLÁGENO MARINO PLUS x 400 GR,Biotina,Apoyo en uñas y cabello
FITO COLÁGENO MARINO PLUS x 400 GR,Zinc,Apoyo en uñas y cabello
FITO COLÁGENO MARINO PLUS x 400 GR,Magnesio,Apoyo en recuperación muscular.
FITO CRANBERRY EXTRACT X 60 CAP,Extracto de Cranberry (25.000 mg por cápsula blanda),Reduce adherencia de E. coli a la pared vesical
FITO CRANBERRY EXTRACT X 60 CAP,Extracto de Cranberry (25.000 mg por cápsula blanda),Apoyo en prevención de cistitis recurrente
FITO CRANBERRY EXTRACT X 60 CAP,Extracto de Cranberry (25.000 mg por cápsula blanda),Apoyo urinario en hombres con síntomas prostáticos
FITO CRANBERRY EXTRACT X 60 CAP,Extracto de Cranberry (25.000 mg por cápsula blanda),Apoyo antioxidante por contenido de polifenoles
FITO CRANBERRY EXTRACT X 60 CAP,Extracto de Cranberry (25.000 mg por cápsula blanda),Apoyo post antibiótico en salud urinaria.
FITO EQUINACEA X 100 CAP,Extracto seco concentrado 4:1 de raíz de Equinácea (Equinácea purpurea) 250 mg,Estimula respuesta inmunológica
FITO EQUINACEA X 100 CAP,Extracto seco concentrado 4:1 de raíz de Equinácea (Equinácea purpurea) 250 mg,Apoyo en prevención de resfriados recurrentes
FITO EQUINACEA X 100 CAP,Extracto seco concentrado 4:1 de raíz de Equinácea (Equinácea purpurea) 250 mg,Apoyo en reducción de duración e intensidad de gripa (coadyuvante)
FITO EQUINACEA X 100 CAP,Extracto seco concentrado 4:1 de raíz de Equinácea (Equinácea purpurea) 250 mg,Apoyo en recuperación del sistema inmune
FITO EQUINACEA X 100 CAP,Extracto seco concentrado 4:1 de raíz de Equinácea (Equinácea purpurea) 250 mg,Apoyo en modulación de respuesta inmune en rinitis y alergias leves (coadyuvante). MODO DE ACCIÓN: apoyo en fagocitosis y actividad de células inmunes.
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Esencia floral de Estrella de Belén,"Apoyo en equilibrio emocional tras eventos impactantes (sustos, pérdidas, cambios fuertes)"
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Esencia floral de Estrella de Belén,Apoyo en regulación emocional en personas hipersensibles
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Esencia floral de Estrella de Belén,Apoyo en irritabilidad y cambios de humor
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Esencia floral de Estrella de Belén,Apoyo en estabilidad emocional en niños y adolescentes. MODO DE ACCIÓN: armonización emocional (enfoque floral).
FITO ESENCIA INSOMNIO x 25 ML,Impaciencia,Apoyo en mente acelerada e
FITO ESENCIA PASSIFLORA x 25 ML,Passiflora,Apoyo en reducción de ansiedad leve
FITO ESENCIA PASSIFLORA x 25 ML,Passiflora,Apoyo en relajación emocional
FITO ESENCIA PASSIFLORA x 25 ML,Passiflora,Apoyo en conciliación del sueño cuando hay nerviosismo
FITO ESENCIA PASSIFLORA x 25 ML,Passiflora,Apoyo en gastritis asociada a estrés
FITO ESENCIA PASSIFLORA x 25 ML,Passiflora,Apoyo en regulación de tensión nerviosa. MODO DE ACCIÓN: armonización emocional y apoyo en regulación de tensión nerviosa (enfoque floral).
FITO ESENCIA VICIOS x 25 ML,Impaciencia,Apoyo en regulación de tensión e
FITO ESSENTIAL LIFE x 360 ML,Hierro,Apoyo en formación de glóbulos rojos ( + B12)
FITO ESSENTIAL LIFE x 360 ML,Vitamina C,Apoyo en sistema inmune
FITO ESSENTIAL LIFE x 360 ML,Zinc,Apoyo en sistema inmune
FITO ESSENTIAL LIFE x 360 ML,Biotina,Apoyo en cabello y uñas por déficit. NOTA: producto dulce
FITO ESSENTIAL LIFE x 360 ML,Zinc,Apoyo en cabello y uñas por déficit. NOTA: producto dulce
FITO FIBRA FITOMEDIC'S X 500 GR,Psyllium,aumenta volumen fecal y mejora tránsito
FITO FIBRA FITOMEDIC'S X 500 GR,Canela,mejora saciedad y reduce ansiedad por comer (fibra + )
FITO FITOBRONK 240 ML,Vitamina C,como soporte inmune y antioxidante
FITO FITOBRONK 240 ML,cebolla,ajo y con apoyo antimicrobiano tradicional y expectorante
FITO FITOBRONK 240 ML,rábano,rábano como descongestionante/mucolítico natural
FITO FITOBRONK 240 ML,brócoli,brócoli como apoyo antioxidante respiratorio. Apoyo en movilización de secreciones y expulsión de flema (coadyuvante).
FITO GEL DE CALENDULA x 300 GR,Castaño de indias,castaño de indias con apoyo en retorno venoso y reducción de edema
FITO GEL DE CALENDULA x 300 GR,Hamamelis,con acción astringente y antiinflamatoria
FITO GEL DE CALENDULA x 300 GR,Yantén,yantén como calmante tradicional. Gel frío con efecto refrescante que disminuye sensación de ardor e inflamación. Apoyo en regeneración cutánea en quemaduras leves y lesiones superficiales (coadyuvante).
FITO GINKGO BILOBA x 100 CAP,Ginkgo biloba,mejora microcirculación cerebral y periférica
FITO GINKGO BILOBA x 100 CAP,Ginkgo biloba,acción antioxidante vascular (flavonoides)
FITO GINKGO BILOBA x 100 CAP,Ginkgo biloba,apoyo en oxigenación cerebral
FITO GINKGO BILOBA x 100 CAP,Ginkgo biloba,apoyo en enfoque y memoria por mejor perfusión
FITO GINKGO BILOBA x 100 CAP,Ginkgo biloba,coadyuvante en cefalea vascular
FITO GINKGO BILOBA x 100 CAP,Ginkgo biloba,apoyo indirecto en dolor articular leve asociado a componente circulatorio.
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Gluconato de zinc (120 mg por cápsula),mineral esencial para función del sistema inmune
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Gluconato de zinc (120 mg por cápsula),apoyo en cicatrización y reparación de tejidos
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Gluconato de zinc (120 mg por cápsula),"apoyo en piel (regulación de inflamación y sebo, acné)"
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Gluconato de zinc (120 mg por cápsula),apoyo en salud capilar cuando hay déficit
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Gluconato de zinc (120 mg por cápsula),apoyo antioxidante
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Gluconato de zinc (120 mg por cápsula),apoyo en salud prostática (mineral clave en próstata).
FITO GREEN FOOD X 200 GR,Clorofila,detox metabólico suave por + crucíferas (brócoli) +
FITO GREEN FOOD X 200 GR,Chlorella,detox metabólico suave por + crucíferas (brócoli) +
FITO GREEN FOOD X 200 GR,Vitamina C,alto poder antioxidante ( + + arándanos + semilla de uva + té verde + vitaminas A y E)
FITO GREEN FOOD X 200 GR,Acerola,alto poder antioxidante ( + + arándanos + semilla de uva + té verde + vitaminas A y E)
FITO GREEN FOOD X 200 GR,Vitamina C,apoyo inmune (hongos funcionales + )
FITO GREEN FOOD X 200 GR,Papaya,apoyo digestivo ( + piña)
FITO GREEN FOOD X 200 GR,Sodio,"apoyo mineral/electrolitos (magnesio, potasio,, calcio)."
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,Té negro,té rojo y té negro con acción estimulante metabólica y apoyo antioxidante (polifenoles)
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,Té rojo,té rojo y té negro con acción estimulante metabólica y apoyo antioxidante (polifenoles)
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,Flor de jamaica,"con apoyo diurético suave y antioxidante, útil en retención de líquidos. Puede apoyar digestión y sensación de pesadez."
FITO L-ARGININA + ZINC + MAGNESIO,L-Arginina,"la es precursora de óxido nítrico, promoviendo vasodilatación y mejora de la perfusión vascular"
FITO L-ARGININA + ZINC + MAGNESIO,Zinc,como soporte hormonal e inmune
FITO L-ARGININA + ZINC + MAGNESIO,Magnesio,como apoyo en función muscular y neuromuscular.
FITO LP-DIG MAX x 31 GR,Sulfato de magnesio,como laxante osmótico (atrae agua al intestino y produce evacuación rápida)
FITO LP-DIG MAX x 31 GR,cáscara sagrada,sen y cáscara sagrada como laxantes estimulantes (aumentan motilidad intestinal)
FITO NUT KIDS x 360 ML,Arginina,"y ornitina como apoyo metabólico, recuperación y crecimiento"
FITO OSHE-CAL II x 400 GR,Calcio,como base estructural de hueso y dientes
FITO OSHE-CAL II x 400 GR,Calcio,vitamina D como apoyo en absorción y metabolismo del
FITO OSHE-CAL II x 400 GR,Magnesio,como cofactor para metabolismo óseo y función muscular
FITO OSHE-CAL II x 400 GR,Manganeso,y como cofactores en formación de matriz ósea y tejido conectivo
FITO OSHE-CAL II x 400 GR,Cobre,y como cofactores en formación de matriz ósea y tejido conectivo
FITO OSHE-CAL II x 400 GR,Zinc,y como cofactores en formación de matriz ósea y tejido conectivo
FITO OSHE-CAL II x 400 GR,Ácido fólico,complejo B y ácido fólico como soporte metabólico
FITO OSHE-CAL II x 400 GR,Selenio,y vitamina E como antioxidantes. Producto muy útil en transición hormonal (perimenopausia/menopausia) y en prevención de fragilidad ósea.
FITO PROPOLFIT x 240 ML,Propóleo,propóleo con acción antimicrobiana y antiinflamatoria en vías respiratorias altas
FITO PROPOLFIT x 240 ML,Totumo,y marañón como apoyo tradicional respiratorio
FITO TOFIT x 240 ML,Eucalipto,con efecto descongestionante y expectorante suave
FITO TOFIT x 240 ML,Propóleo,propóleo como apoyo antimicrobiano
FITO TOFIT x 240 ML,Zinc,y vitamina C como refuerzo inmune
FITO TOFIT x 240 ML,Polen,como apoyo nutricional. Más indicado en gripes con mucosidad y congestión nasal.
FITO SAUREMAX x 60 TABLETAS,Minerales biológicamente tratados,minerales biológicamente tratados con estructura porosa que pueden adsorber irritantes y apoyar el equilibrio del pH
FITO SAUREMAX x 60 TABLETAS,Óxido de magnesio,óxido de magnesio con efecto antiácido
FITO SAUREMAX x 60 TABLETAS,Glicina,como apoyo protector de mucosa
FITO SANGRE DE DRAGO X 80 ML,Croton lechleri (resina),"resina rica en compuestos fenólicos y proantocianidinas con acción astringente, antiinflamatoria y regeneradora"
FITO SANGRE DE DRAGO X 80 ML,Croton lechleri (resina),"forma una película protectora sobre mucosas y piel, favoreciendo cicatrización"
FITO SANGRE DE DRAGO X 80 ML,Croton lechleri (resina),"apoyo antimicrobiano local. Útil en gastritis y úlcera como apoyo de regeneración de mucosa, y en diarrea por efecto astringente. Uso externo en heridas, irritaciones, acné y quemaduras leves."
FITO VITAMINA E + SELENIO X 120 SOFGETLS,Vitamina E,como antioxidante liposoluble que protege membranas celulares y reduce daño oxidativo
FITO VITAMINA E + SELENIO X 120 SOFGETLS,Selenio,"como cofactor de enzimas antioxidantes (glutatión peroxidasa) y soporte inmunológico/tiroideo. Útil como apoyo en procesos inflamatorios y hormonales donde el estrés oxidativo acelera síntomas (piel, próstata, perimenopausia). En miomas se posiciona como coadyuvante antioxidante (no como reductor directo de tamaño)."
FITO VALERIANA x 80 ML,Extracto fluido (1:1) de raíz y rizomas de Valeriana (11 g por frasco),la valeriana modula neurotransmisores inhibitorios (principalmente vía GABA) favoreciendo relajación del sistema nervioso
FITO VALERIANA x 80 ML,Extracto fluido (1:1) de raíz y rizomas de Valeriana (11 g por frasco),"disminuye hiperalerta y tensión, facilitando conciliación del sueño y reduciendo ansiedad. Útil en insomnio por estrés, irritabilidad y síntomas somáticos de ansiedad (tensión, palpitaciones, colon irritable)."
FITO TE VERDE x 60 GR (30 BOLSAS),Té verde (Camellia sinensis),rico en catequinas (EGCG) y polifenoles con acción antioxidante
FITO TE VERDE x 60 GR (30 BOLSAS),Té verde (Camellia sinensis),apoya termogénesis leve y oxidación de grasas
FITO TE VERDE x 60 GR (30 BOLSAS),Té verde (Camellia sinensis),favorece metabolismo hepático de lípidos y puede contribuir a mejorar perfil lipídico
FITO TE VERDE x 60 GR (30 BOLSAS),Té verde (Camellia sinensis),efecto diurético suave que ayuda a desinflamar por líquidos.
FITO MELATONINA X 60 / 120 CAP,Melatonina,hormona reguladora del ritmo circadiano que sincroniza el ciclo sueño-vigilia
FITO MELATONINA X 60 / 120 CAP,Melatonina,favorece conciliación del sueño y mejora calidad del descanso profundo
FITO MELATONINA X 60 / 120 CAP,Melatonina,"modula eje neuroendocrino y tiene efecto antioxidante leve. Especialmente útil en adultos mayores donde la producción natural disminuye con la edad, así como en alteraciones por pantallas nocturnas, turnos laborales o cambios hormonales."
MELENA DE LEON x 120 CAP,Hericium erinaceus (Melena de León),"hongo medicinal con compuestos (hericenonas y erinacinas) que estimulan el factor de crecimiento nervioso (NGF), favoreciendo regeneración y protección neuronal"
MELENA DE LEON x 120 CAP,Hericium erinaceus (Melena de León),"apoya memoria, concentración y plasticidad cerebral"
MELENA DE LEON x 120 CAP,Hericium erinaceus (Melena de León),efecto modulador leve en ansiedad y estrés.
ASHWAGANDHA x 90 CAPS,Withania somnifera (Ashwagandha),"adaptógeno que modula el eje hipotálamo-hipófisis-adrenal (HPA), ayudando a regular niveles elevados de cortisol"
ASHWAGANDHA x 90 CAPS,Withania somnifera (Ashwagandha),"mejora resiliencia al estrés, favorece estabilidad emocional y contribuye a mejorar calidad del sueño de forma indirecta"
ASHWAGANDHA x 90 CAPS,Withania somnifera (Ashwagandha),apoya rendimiento físico y mental y puede influir positivamente en función tiroidea subclínica.
RESVERATROL x 180 CAPS,Resveratrol,polifenol antioxidante que activa vías celulares asociadas a longevidad (SIRT1)
RESVERATROL x 180 CAPS,Resveratrol,reduce estrés oxidativo y modula inflamación sistémica
RESVERATROL x 180 CAPS,Resveratrol,mejora función endotelial y protege frente a oxidación del LDL
RESVERATROL x 180 CAPS,Resveratrol,"apoya sensibilidad a insulina y metabolismo energético. En piel y articulaciones reduce degradación de colágeno al modular enzimas inflamatorias, actuando como protector estructural."
OREGANO OIL x 150 SOFTGELS,Aceite de Orégano (carvacrol y timol),acción antifúngica y antibacteriana potente al alterar membrana celular de hongos y bacterias
OREGANO OIL x 150 SOFTGELS,Aceite de Orégano (carvacrol y timol),modula citocinas inflamatorias reduciendo inflamación sistémica
OREGANO OIL x 150 SOFTGELS,Aceite de Orégano (carvacrol y timol),puede contribuir a mejorar disbiosis intestinal y apoyar regulación metabólica leve. En acné actúa indirectamente reduciendo inflamación intestinal y carga bacteriana. USO TÓPICO: diluido en shampoo o aceite portador para caspa fúngica (no usar puro).
FITO VITAMINA E COSMETICA,Vitamina E tópica,antioxidante liposoluble que protege membranas celulares del daño oxidativo
FITO VITAMINA E COSMETICA,Vitamina E tópica,favorece regeneración cutánea y mejora elasticidad de la piel
FITO VITAMINA E COSMETICA,Vitamina E tópica,apoya recuperación en piel seca o agredida.
FITO ALOE VERA CON VITAMINA E X 80 SOFGELS (USO TOPICO),Aloe vera + Vitamina E,"el aloe vera tiene efecto calmante, hidratante y regenerador"
FITO ALOE VERA CON VITAMINA E X 80 SOFGELS (USO TOPICO),Aloe vera + Vitamina E,la vitamina E actúa como antioxidante protegiendo células cutáneas
FITO ALOE VERA CON VITAMINA E X 80 SOFGELS (USO TOPICO),Aloe vera + Vitamina E,ayuda a disminuir inflamación leve y favorece recuperación de piel irritada.
