Producto,Acción general,Clasificación 5.3,Validación,Coherencia 5.3,Corrección 5.3
FITO OSHE-CAL II x 400 GR,COMBINACIONES: Vitamina D3 (si se requiere potenciar),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO BIOTIN 900 MCG X 60 CAP,Apoyo en estados carenciales,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO BLOQ TOS X 240 ML,Acción demulcente protectora de mucosas,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO VITAMINA E COSMETICA,Resveratrol (protección antioxidante interna),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO GEL DE CALENDULA x 300 GR,castaño de indias con apoyo en retorno venoso y reducción de edema,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO MELATONINA X 60 / 120 CAP,FRASE DE VENTA: 'Sincroniza tu reloj biológico y recupera un sueño profundo y reparador.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,Puede apoyar digestión y sensación de pesadez,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO OSHE-CAL II x 400 GR,MODO DE ACCIÓN: calcio como base estructural de hueso y dientes,COMPONENTE + FUNCIÓN,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,COMPONENTE + FUNCIÓN → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO TOFIT x 240 ML,MODO DE ACCIÓN: eucalipto con efecto descongestionante y expectorante suave,COMPONENTE + FUNCIÓN,COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → COMPONENTE
FITO VITAMINA D3 X 100 CAP,Útil en personas con poca exposición solar,ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO CARDOMARIANO X 60 CAP,Apoyo en procesos de desintoxicación hepática,ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO GEL DE CALENDULA x 300 GR,Fibra (hemorroides),ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO DUNPLUS X 60 CAP,Apoyo indirecto en tránsito intestinal en algunos casos como parte de planes de control de peso,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO VITAMINA D3 X 100 CAP,magnesio como cofactor para activación de vitamina D y soporte neuromuscular (calambres/espasmos),RECOMENDACIÓN / COMPLEMENTO,ACCIÓN DE COMPONENTE,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN DE COMPONENTE
FITO ESSENTIAL LIFE x 360 ML,Apoyo en sistema inmune (zinc + vitamina C),COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO ESENCIA STRESS x 25 ML,FRASE DE VENTA: 'Para estrés por sobrecarga: cuando tu mente no descansa y sientes que no puedes con todo.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,COMBINACIONES: Esencia Rescate (crisis emocional aguda),RECOMENDACIÓN / COMPLEMENTO,ACCIÓN GENERAL,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN GENERAL
FITO VITAMINA D3 X 100 CAP,Equinacea (respiratorio),ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
MELENA DE LEON x 120 CAP,Vitamina D3 (neuroinmunidad),ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO DUNPLUS X 60 CAP,Maca (apoyo en fatiga hormonal,ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Ashwagandha (estrés crónico,ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO ARTRIFIT x 60 CAP,Acción antiinflamatoria natural,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ALCACHOFA x 100 CAP,Apoyo en control de colesterol y triglicéridos,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
MELENA DE LEON x 120 CAP,Magnesio (estrés),RECOMENDACIÓN / COMPLEMENTO,ACCIÓN DE COMPONENTE,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN DE COMPONENTE
FITO TOFIT x 240 ML,zinc y vitamina C como refuerzo inmune,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO TE VERDE x 60 GR (30 BOLSAS),FRASE DE VENTA: 'Activa tu metabolismo y apoya la quema natural de grasa.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
MELENA DE LEON x 120 CAP,Ashwagandha (estrés crónico),ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO BLOQ TOS X 240 ML,Apoyo en expulsión de flema ligera,ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO ESENCIA INSOMNIO x 25 ML,Apoyo en conciliación del sueño cuando hay estrés emocional,ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO SAUREMAX x 60 TABLETAS,óxido de magnesio con efecto antiácido,COMPONENTE + FUNCIÓN,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,COMPONENTE + FUNCIÓN → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
OREGANO OIL x 150 SOFTGELS,puede contribuir a mejorar disbiosis intestinal y apoyar regulación metabólica leve,RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO AJO PEREJIL x 100 CAP,Apoyo inmunológico,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO DESPIGMENTADORA CLYAX x 80 GR,Uso nocturno por posible fotosensibilidad,ACCIÓN GENERAL,POSOLOGÍA,CORREGIDA,ACCIÓN GENERAL → POSOLOGÍA
FITO GINKGO BILOBA x 100 CAP,apoyo indirecto en dolor articular leve asociado a componente circulatorio,RECOMENDACIÓN / COMPLEMENTO,ACCIÓN DE COMPONENTE,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN DE COMPONENTE
FITO OSHE-CAL II x 400 GR,vitamina K3 como apoyo en mineralización ósea,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO ESSENTIAL LIFE x 360 ML,FRASE DE VENTA: 'Energía y nutrición completa para combatir cansancio,ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO ESSENTIAL LIFE x 360 ML,Apoyo en formación de glóbulos rojos (hierro + B12),COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO VITAMINA E + SELENIO X 120 SOFGETLS,próstata,ACCIÓN GENERAL,NO APLICA,CORREGIDA,ACCIÓN GENERAL → NO APLICA
FITO OSHE-CAL II x 400 GR,Magnesio (calambres),COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO ESENCIA VICIOS x 25 ML,Apoyo en control emocional cuando la ansiedad se expresa como compulsión o hábito (comer por ansiedad,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,especialmente en niños y adolescentes.',ACCIÓN GENERAL,NO APLICA,CORREGIDA,ACCIÓN GENERAL → NO APLICA
FITO ESENCIA PASSIFLORA x 25 ML,Ashwagandha (estrés crónico),ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO CALGEL x 120 GR (CALIENTE),Apoyo en movilidad,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO SHAMPOO FOLISAN X 400 ML,Nutrición e hidratación,RECOMENDACIÓN / COMPLEMENTO,ACCIÓN GENERAL,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN GENERAL
FITO FIBRA FITOMEDIC'S X 500 GR,mejora saciedad y reduce ansiedad por comer (fibra + canela),COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO HERBALAX x 60 CAP,FRASE DE VENTA: 'Limpieza intestinal efectiva cuando hay estreñimiento fuerte y pesadez.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO OSHE-CAL II x 400 GR,selenio y vitamina E como antioxidantes,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO BIOTICS X 30 CAP,Apoyo en salud vaginal,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO VALERIANA x 80 ML,irritabilidad y síntomas somáticos de ansiedad (tensión,ACCIÓN GENERAL,ACCIÓN DE COMPONENTE,CORREGIDA,ACCIÓN GENERAL → ACCIÓN DE COMPONENTE
FITO DUNPLUS X 60 CAP,terceros),ACCIÓN GENERAL,NO APLICA,CORREGIDA,ACCIÓN GENERAL → NO APLICA
MELENA DE LEON x 120 CAP,concentración y plasticidad cerebral,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ISOWOAN x 60 CAP,sudoración nocturna e irritabilidad,RECOMENDACIÓN / COMPLEMENTO,ACCIÓN GENERAL,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN GENERAL
FITO ACEITE MANO DE RES X 240 ML,Mejora condición del cuero cabelludo seco,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ESENCIA VICIOS x 25 ML,Passiflora (ansiedad),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO OSHE-CAL II x 400 GR,magnesio como cofactor para metabolismo óseo y función muscular,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO CLORURO DE MAGNESIO x 90 CAP,FRASE DE VENTA: 'Magnesio + zinc para músculos,ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO NUT KIDS x 360 ML,MODO DE ACCIÓN: complejo B para metabolismo energético,ACCIÓN GENERAL,ACCIÓN DE COMPONENTE,CORREGIDA,ACCIÓN GENERAL → ACCIÓN DE COMPONENTE
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,MODO DE ACCIÓN: armonización emocional (enfoque floral),ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO VALERIANA x 80 ML,Pasiflora (ansiedad),ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO OMEGA 3 x 100 PERLAS,apoyo en salud cerebral (DHA) y enfoque,ACCIÓN GENERAL,NO APLICA,CORREGIDA,ACCIÓN GENERAL → NO APLICA
FITO ESENCIA VICIOS x 25 ML,MODO DE ACCIÓN: armonización emocional para ansiedad compensatoria (enfoque floral),ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
MELENA DE LEON x 120 CAP,apoya memoria,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO OMEGA 3 x 100 PERLAS,MODO DE ACCIÓN: EPA y DHA con acción antiinflamatoria sistémica (modulan citoquinas y mediadores inflamatorios),ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO HERBALAX x 60 CAP,Alcachofa (digestión e hígado),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO GEL DE CALENDULA x 300 GR,hamamelis con acción astringente y antiinflamatoria,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO COLÁGENO MARINO PLUS x 400 GR,FRASE DE VENTA: '10.000 mg de colágeno por dosis para articulaciones fuertes y piel más firme.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO ISOWOAN x 60 CAP,COMBINACIONES: Colágeno Marino Plus (piel,RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO ESENCIA STRESS x 25 ML,Apoyo en reducción de pensamientos repetitivos,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO DUNPLUS X 60 CAP,Apoyo en control de grasa corporal (coadyuvante),ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO L-ARGININA + ZINC + MAGNESIO,Colágeno (regeneración tisular),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO BREINAP X 30 CAP,Apoyo en estados de fatiga y debilidad,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO SHAMPOO FOLISAN X 400 ML,Soporte cuero cabelludo,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO TE VERDE x 60 GR (30 BOLSAS),Vinagre de manzana (picos de glucosa),ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO L-ARGININA + ZINC + MAGNESIO,COMBINACIONES: Prostenfit (salud masculina),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO VITAMINA E + SELENIO X 120 SOFGETLS,selenio como cofactor de enzimas antioxidantes (glutatión peroxidasa) y soporte inmunológico/tiroideo,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO OMEGA 3 x 100 PERLAS,FRASE DE VENTA: 'Omega 3 concentrado para modular inflamación,ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO LP-DIG MAX x 31 GR,boldo como apoyo hepato-biliar y digestión,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO TE VERDE x 60 GR (30 BOLSAS),efecto diurético suave que ayuda a desinflamar por líquidos,RECOMENDACIÓN / COMPLEMENTO,ACCIÓN GENERAL,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → ACCIÓN GENERAL
FITO GREEN FOOD X 200 GR,nutre,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO CALGEL x 120 GR (CALIENTE),Apoyo externo en cólicos por efecto calor,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
OREGANO OIL x 150 SOFTGELS,Cromo o Vinagre (metabólico),ACCIÓN GENERAL,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,ACCIÓN GENERAL → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO L-ARGININA + ZINC + MAGNESIO,magnesio como apoyo en función muscular y neuromuscular,COMPONENTE + FUNCIÓN,ACCIÓN DE COMPONENTE,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN DE COMPONENTE
FITO CASTAÑO DE INDIAS x 60 CAP,Apoyo en várices y arañitas,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO GINKGO BILOBA x 100 CAP,COMBINACIONES: Breinap (memoria + energía mental),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
FITO PROPOLFIT x 240 ML,MODO DE ACCIÓN: propóleo con acción antimicrobiana y antiinflamatoria en vías respiratorias altas,COMPONENTE + FUNCIÓN,ACCIÓN GENERAL,CORREGIDA,COMPONENTE + FUNCIÓN → ACCIÓN GENERAL
FITO ESENCIA INSOMNIO x 25 ML,FRASE DE VENTA: 'Para dormir mejor cuando el insomnio viene del estrés y la mente acelerada.',ELIMINAR,FRASE COMERCIAL,CORREGIDA,ELIMINAR → FRASE COMERCIAL
FITO BREINAP X 30 CAP,Mejora claridad mental,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ACEITE DE COCO MASAJES X 240 ML,Disminución de resequedad,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO SHAMPOO DE CEBOLLA X 380 GR,Fortalecimiento del cabello débil,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ARTRIFIT x 30 CAP,Acción antiinflamatoria natural,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ACEITE MANO DE RES X 240 ML,Hidratación intensiva,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,cambios fuertes),ACCIÓN GENERAL,NO APLICA,CORREGIDA,ACCIÓN GENERAL → NO APLICA
FITO DUNPLUS X 60 CAP,Apoyo en reducción de antojos,ACCIÓN GENERAL,ACCIÓN GENERAL,CORRECTA,SIN CORRECCIÓN
FITO VITAMINA D3 X 100 CAP,Colágeno Marino Plus (hueso/piel),RECOMENDACIÓN / COMPLEMENTO,RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO,CORREGIDA,RECOMENDACIÓN / COMPLEMENTO → RECOMENDACIÓN DE COMBINACIÓN CON OTRO PRODUCTO
