Producto,Acción general,Clasificación final 5.6,Confianza 5.6
FITO TRATAMIENTO FOLISAN x 380 ML,Estimulación del cuero cabelludo,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO FOLISAN x 380 ML,Reparación de fibra capilar,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO FOLISAN x 380 ML,Apoyo en caída leve asociada a fragilidad,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO MAJENDY X 15 GR,Reestructuración de fibra capilar,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO MAJENDY X 15 GR,Nutrición intensiva,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO MAJENDY X 15 GR,Mejora de elasticidad y suavidad,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO MAJENDY X 15 GR,Reducción de quiebre,ACCIÓN GENERAL,0.6022663691592006
FITO TRATAMIENTO MAJENDY x 380 ML,Reestructuración de fibra capilar,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO MAJENDY x 380 ML,Nutrición intensiva,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO MAJENDY x 380 ML,Mejora de elasticidad y suavidad,ACCIÓN GENERAL,1.0
FITO TRATAMIENTO MAJENDY x 380 ML,Reducción de quiebre,ACCIÓN GENERAL,0.6022663691592006
FITO ACEITE ARGAN MASAJES x 240 ML,Hidratación profunda,ACCIÓN GENERAL,1.0
FITO ACEITE ARGAN MASAJES x 240 ML,Aporte antioxidante,ACCIÓN GENERAL,0.84357406588925
FITO ACEITE ARGAN MASAJES x 240 ML,Mejora elasticidad,ACCIÓN GENERAL,0.805278482311796
FITO ACEITE ARGAN MASAJES x 240 ML,Nutrición de fibra capilar y piel,ACCIÓN GENERAL,1.0
FITO ACEITE ARGAN X 100 ML,Hidratación profunda,ACCIÓN GENERAL,1.0
FITO ACEITE ARGAN X 100 ML,Mejora brillo y suavidad,ACCIÓN GENERAL,1.0
FITO ACEITE ARGAN X 100 ML,Protección antioxidante,ACCIÓN GENERAL,0.8502980564576531
FITO ACEITE ARGAN X 100 ML,Reducción de quiebre,ACCIÓN GENERAL,0.6022663691592006
FITO ACEITE DE COCO MASAJES X 240 ML,Hidratación profunda,ACCIÓN GENERAL,1.0
FITO ACEITE DE COCO MASAJES X 240 ML,Restauración de barrera lipídica,ACCIÓN GENERAL,0.8021331218576818
FITO ACEITE DE COCO MASAJES X 240 ML,Disminución de resequedad,ACCIÓN GENERAL,1.0
FITO ACEITE DE COCO MASAJES X 240 ML,Reducción de pérdida proteica en cabello,ACCIÓN GENERAL,0.8254277966884717
FITO ACEITE MANO DE RES X 240 ML,Hidratación intensiva,ACCIÓN GENERAL,1.0
FITO ACEITE MANO DE RES X 240 ML,Mejora elasticidad cutánea,ACCIÓN GENERAL,1.0
FITO ACEITE MANO DE RES X 240 ML,Protección antioxidante,ACCIÓN GENERAL,0.8502980902740785
FITO ACEITE MANO DE RES X 240 ML,Mejora condición del cuero cabelludo seco,ACCIÓN GENERAL,1.0
FITO ACEITE MANO DE RES X 240 ML,Reducción de quiebre,ACCIÓN GENERAL,0.6022663691592006
FITO AJO PEREJIL x 100 CAP,Soporte vascular leve,ACCIÓN GENERAL,1.0
FITO AJO PEREJIL x 100 CAP,Apoyo en presión arterial leve,ACCIÓN GENERAL,1.0
FITO AJO PEREJIL x 100 CAP,Acción diurética suave,ACCIÓN GENERAL,1.0
FITO AJO PEREJIL x 100 CAP,Acción antioxidante,ACCIÓN GENERAL,0.8603817732104315
FITO AJO PEREJIL x 100 CAP,Apoyo inmunológico,ACCIÓN GENERAL,1.0
FITO AJO PEREJIL x 100 CAP,Apoyo antimicrobiano suave,ACCIÓN GENERAL,1.0
FITO AJO PROMOCION 100 + 100 PERLAS,Apoyo en presión arterial,ACCIÓN GENERAL,1.0
FITO AJO PROMOCION 100 + 100 PERLAS,Mejora función vascular,ACCIÓN GENERAL,1.0
FITO AJO PROMOCION 100 + 100 PERLAS,Acción antioxidante,ACCIÓN GENERAL,0.8603817352982729
FITO AJO PROMOCION 100 + 100 PERLAS,Acción antimicrobiana natural,ACCIÓN GENERAL,1.0
FITO AJO PROMOCION 100 + 100 PERLAS,Apoyo inmunológico,ACCIÓN GENERAL,1.0
FITO AJO PROMOCION 100 + 100 PERLAS,Apoyo antiparasitario intestinal,ACCIÓN GENERAL,1.0
FITO ALCACHOFA x 100 CAP,Apoyo a función hepática,ACCIÓN GENERAL,0.576916376546347
FITO ALCACHOFA x 100 CAP,Estimulación de flujo biliar,ACCIÓN GENERAL,1.0
FITO ALCACHOFA x 100 CAP,Mejora digestión de grasas,ACCIÓN GENERAL,0.8210742852659993
FITO ALCACHOFA x 100 CAP,Apoyo en control de colesterol y triglicéridos,ACCIÓN GENERAL,0.8852752082899046
FITO ALCACHOFA x 100 CAP,Coadyuvante en procesos de limpieza,ACCIÓN GENERAL,0.7897947029305253
FITO ALCACHOFA x 100 CAP,Apoyo indirecto en piel (acné/manchas) cuando hay sobrecarga hepática,ACCIÓN GENERAL,0.7782108471316581
FITO AMEDANIL x 30 CAP,Apoyo en procesos de desparasitación intestinal,ACCIÓN GENERAL,1.0
FITO AMEDANIL x 30 CAP,Apoyo digestivo por acción enzimática,ACCIÓN GENERAL,0.873182932286084
FITO AMEDANIL x 30 CAP,Coadyuvante en limpieza intestinal (frecuentemente combinado con purgante),ACCIÓN GENERAL,0.5881964560097002
FITO AMEDANIL x 30 CAP,Soporte de mucosas (vitamina A),ACCIÓN GENERAL,0.4107738227635368
FITO ANTISAURE X 360 ML,Protección y alivio de mucosa gástrica,ACCIÓN GENERAL,0.5944525774444722
FITO ANTISAURE X 360 ML,Disminución de ardor y acidez,ACCIÓN GENERAL,1.0
FITO ANTISAURE X 360 ML,Apoyo en reflujo leve,ACCIÓN GENERAL,1.0
FITO ANTISAURE X 360 ML,Efecto antiespasmódico intestinal,ACCIÓN GENERAL,1.0
FITO ANTISAURE X 360 ML,Apoyo en colon irritable leve,ACCIÓN GENERAL,1.0
FITO ANTISAURE X 360 ML,Apoyo al equilibrio intestinal (modulador leve),ACCIÓN GENERAL,0.5884178133274476
FITO ARTRIFIT x 30 CAP,Acción antiinflamatoria natural,ACCIÓN GENERAL,1.0
FITO ARTRIFIT x 30 CAP,Apoyo en dolor e inflamación articular,ACCIÓN GENERAL,0.8214559319234388
FITO ARTRIFIT x 30 CAP,Mejora rigidez y movilidad,ACCIÓN GENERAL,1.0
FITO ARTRIFIT x 30 CAP,Coadyuvante en enfermedades reumáticas,ACCIÓN GENERAL,0.817427655130545
FITO ARTRIFIT x 30 CAP,Beneficios progresivos con uso continuo (2–3 meses),ACCIÓN GENERAL,0.8028593829614405
FITO ARTRIFIT x 60 CAP,Acción antiinflamatoria natural,ACCIÓN GENERAL,1.0
FITO ARTRIFIT x 60 CAP,Apoyo en dolor e inflamación articular,ACCIÓN GENERAL,0.8214559199327046
FITO ARTRIFIT x 60 CAP,Mejora rigidez y movilidad,ACCIÓN GENERAL,1.0
FITO ARTRIFIT x 60 CAP,Coadyuvante en enfermedades reumáticas,ACCIÓN GENERAL,0.8174276296837699
FITO ARTRIFIT x 60 CAP,Beneficios progresivos con uso continuo (2–3 meses),ACCIÓN GENERAL,0.8028593664608912
FITO BIOTICS X 30 CAP,Alta concentración multicepa (50 billones garantizados),ACCIÓN GENERAL,0.8055338672346802
FITO BIOTICS X 30 CAP,Repoblación y equilibrio de microbiota intestinal,ACCIÓN GENERAL,0.7690884914641113
FITO BIOTICS X 30 CAP,Apoyo en disbiosis y confort digestivo,ACCIÓN GENERAL,0.5970039610229065
FITO BIOTICS X 30 CAP,Regulación del tránsito intestinal,ACCIÓN GENERAL,1.0
FITO BIOTICS X 30 CAP,Modulación inmunológica intestinal,ACCIÓN GENERAL,1.0
FITO BIOTICS X 30 CAP,Apoyo en salud vaginal,ACCIÓN GENERAL,1.0
FITO BIOTICS X 30 CAP,Apoyo en infecciones urinarias recurrentes (equilibrio microbiota urogenital),ACCIÓN GENERAL,0.589436710330806
FITO BIOTICS X 30 CAP,Apoyo indirecto en piel cuando hay disbiosis,ACCIÓN GENERAL,0.5851887334221881
FITO BLOQ TOS X 240 ML,Acción demulcente protectora de mucosas,ACCIÓN GENERAL,0.8773285343617288
FITO BLOQ TOS X 240 ML,Alivio de tos seca e irritativa,ACCIÓN GENERAL,0.6235650465241097
FITO BLOQ TOS X 240 ML,Hidratación y suavización de garganta,ACCIÓN GENERAL,1.0
FITO BLOQ TOS X 240 ML,Apoyo en expulsión de flema ligera,ACCIÓN GENERAL,0.48373031157919494
FITO BLOQ TOS X 240 ML,Disminución de sensación de ardor o carraspeo,ACCIÓN GENERAL,0.8029958020993888
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,Protección solar de amplio espectro UVA/UVB SPF 60,ACCIÓN GENERAL,0.5769638186094516
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,Prevención de manchas inducidas por sol,ACCIÓN GENERAL,0.8018652040486711
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,Acción antioxidante,ACCIÓN GENERAL,0.8603817732104315
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,Efecto calmante y protector para piel sensible,ACCIÓN GENERAL,1.0
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,Apoyo en tratamientos despigmentantes,ACCIÓN GENERAL,1.0
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,FRASE DE VENTA: 'Alta protección solar con efecto calmante y antioxidante,ACCIÓN GENERAL,0.4283812782089688
FITO BLOQUEADOR SOLAR CLYAX X 80 GR,ideal para prevenir manchas y proteger piel sensible.',ACCIÓN GENERAL,1.0
FITO BREINAP X 30 CAP,Apoyo en estados de fatiga y debilidad,ACCIÓN GENERAL,1.0
FITO BREINAP X 30 CAP,Apoyo en agotamiento mental,ACCIÓN GENERAL,1.0
FITO BREINAP X 30 CAP,Mejora facultades intelectuales,ACCIÓN GENERAL,1.0
FITO BREINAP X 30 CAP,Mejora capacidad de concentración,ACCIÓN GENERAL,1.0
FITO BREINAP X 30 CAP,Apoyo en función cerebrovascular,ACCIÓN GENERAL,0.7848185983195325
FITO BREINAP X 30 CAP,Apoyo frente a estrés mental,ACCIÓN GENERAL,0.8311306262095737
FITO BREINAP X 30 CAP,Mejora claridad mental,ACCIÓN GENERAL,1.0
FITO BREINAP X 30 CAP,FRASE DE VENTA: 'Recupera tu energía mental y mejora tu concentración cuando sientes agotamiento.',ACCIÓN GENERAL,0.5993439664600325
FITO CALENDULA FITO X 100 CAP,Apoyo antiinflamatorio de mucosa gástrica,ACCIÓN GENERAL,0.8335380035123835
FITO CALENDULA FITO X 100 CAP,Coadyuvante en gastritis leve e irritación digestiva,ACCIÓN GENERAL,1.0
FITO CALENDULA FITO X 100 CAP,Apoyo en inflamación leve sistémica,ACCIÓN GENERAL,1.0
FITO CALENDULA FITO X 100 CAP,Apoyo en irritación intestinal,ACCIÓN GENERAL,1.0
FITO CALENDULA FITO X 100 CAP,Apoyo en bienestar femenino (cólicos leves),ACCIÓN GENERAL,1.0
FITO CALENDULA FITO X 100 CAP,Apoyo en procesos inflamatorios de piel (coadyuvante),ACCIÓN GENERAL,1.0
FITO CALENDULA FITO X 100 CAP,Apoyo en inflamación de mucosa oral (encías),ACCIÓN GENERAL,1.0
FITO CALENDULA FITO X 100 CAP,cuidando tus mucosas desde adentro.',ACCIÓN GENERAL,0.6351581582691567
FITO CALGEL x 120 GR (CALIENTE),Efecto calor analgésico local (capsicum),ACCIÓN GENERAL,0.8097502044219381
FITO CALGEL x 120 GR (CALIENTE),Acción antiinflamatoria tópica (apitoxina + harpagofito),ACCIÓN GENERAL,0.819578034581734
FITO CALGEL x 120 GR (CALIENTE),Alivio de dolor muscular y contracturas,ACCIÓN GENERAL,1.0
FITO CALGEL x 120 GR (CALIENTE),Alivio de dolor articular y rigidez,ACCIÓN GENERAL,1.0
FITO CALGEL x 120 GR (CALIENTE),Apoyo en movilidad,ACCIÓN GENERAL,1.0
FITO CALGEL x 120 GR (CALIENTE),Apoyo en microcirculación local (hamamelis + castaño de indias),ACCIÓN GENERAL,0.5499326451496002
FITO CALGEL x 120 GR (CALIENTE),Aloe vera como calmante cutáneo,ACCIÓN GENERAL,1.0
FITO CALGEL x 120 GR (CALIENTE),Apoyo en dolor tensional por contractura,ACCIÓN GENERAL,1.0
FITO CALGEL x 120 GR (CALIENTE),Apoyo externo en cólicos por efecto calor,ACCIÓN GENERAL,1.0
FITO CALGEL x 120 GR (CALIENTE),FRASE DE VENTA: 'Alivio rápido del dolor muscular y articular con efecto calor y antiinflamatorio natural.',ACCIÓN GENERAL,0.8221037334301609
FITO CARDOMARIANO X 60 CAP,Protección de células hepáticas,ACCIÓN GENERAL,0.7957580217153184
FITO CARDOMARIANO X 60 CAP,Acción antioxidante hepática,ACCIÓN GENERAL,0.6098204030660793
FITO CARDOMARIANO X 60 CAP,Apoyo en hígado graso,ACCIÓN GENERAL,0.5900155825246444
FITO CARDOMARIANO X 60 CAP,Apoyo en recuperación funcional del hígado,ACCIÓN GENERAL,0.553812062907941
FITO CARDOMARIANO X 60 CAP,Protección frente a daño por medicamentos o alcohol,ACCIÓN GENERAL,1.0
FITO CARDOMARIANO X 60 CAP,Apoyo indirecto en digestión de grasas,ACCIÓN GENERAL,0.8288213371136713
FITO CARDOMARIANO X 60 CAP,Apoyo metabólico que puede contribuir al control de colesterol y triglicéridos (coadyuvante),ACCIÓN GENERAL,0.8355273328192617
FITO CARDOMARIANO X 60 CAP,apoyando su función detox y metabólica.',ACCIÓN GENERAL,0.573288826357676
FITO CASTAÑO DE INDIAS x 60 CAP,Mejora el tono venoso,ACCIÓN GENERAL,0.796154998178358
FITO CASTAÑO DE INDIAS x 60 CAP,Disminuye permeabilidad capilar,ACCIÓN GENERAL,1.0
FITO CASTAÑO DE INDIAS x 60 CAP,Reduce pesadez y dolor en piernas,ACCIÓN GENERAL,0.8257123453988485
FITO CASTAÑO DE INDIAS x 60 CAP,Apoyo en edema leve (hinchazón),ACCIÓN GENERAL,0.7928647355625333
FITO CASTAÑO DE INDIAS x 60 CAP,Apoyo en várices y arañitas,ACCIÓN GENERAL,1.0
FITO CASTAÑO DE INDIAS x 60 CAP,Apoyo en hemorroides (coadyuvante),ACCIÓN GENERAL,0.8085355506389839
FITO CASTAÑO DE INDIAS x 60 CAP,Apoyo en celulitis asociada a mala circulación,ACCIÓN GENERAL,1.0
FITO CASTAÑO DE INDIAS x 60 CAP,COMBINACIONES: Gel de Caléndula (apoyo tópico),ACCIÓN GENERAL,0.5998389071386484
FITO CASTAÑO DE INDIAS x 60 CAP,Ginkgo (circulación periférica),ACCIÓN GENERAL,1.0
FITO CASTAÑO DE INDIAS x 60 CAP,Fibra Fitomedic’s (hemorroides asociadas a estreñimiento),ACCIÓN GENERAL,0.8254219034536482
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en relajación muscular y reducción de calambres,ACCIÓN GENERAL,1.0
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en dolor osteomuscular,ACCIÓN GENERAL,0.8641729048225154
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en inflamación articular (coadyuvante),ACCIÓN GENERAL,0.7937747865050595
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en estados asociados a ácido úrico elevado (coadyuvante),ACCIÓN GENERAL,1.0
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en sistema nervioso y manejo del estrés,ACCIÓN GENERAL,1.0
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en sueño por relajación,ACCIÓN GENERAL,0.5975927886032092
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en migraña y fibromialgia (coadyuvante),ACCIÓN GENERAL,0.6006528570399466
FITO CLORURO DE MAGNESIO x 90 CAP,Apoyo en recuperación física y fatiga,ACCIÓN GENERAL,1.0
FITO CLORURO DE MAGNESIO x 90 CAP,Artrifit (dolor reumático),ACCIÓN GENERAL,0.8106231339506621
FITO CLORURO DE MAGNESIO x 90 CAP,Calgel caliente (dolor tópico),ACCIÓN GENERAL,1.0
FITO CLORURO DE MAGNESIO x 90 CAP,articulaciones,ACCIÓN GENERAL,0.8070543474897659
FITO CLORURO DE MAGNESIO x 90 CAP,calambres y sistema nervioso.',ACCIÓN GENERAL,0.829327160004692
FITO COLÁGENO MARINO HIDROLIZADO + MAGNESIO X 90 CAP,Apoyo en dolor y rigidez articular (coadyuvante),ACCIÓN GENERAL,0.7875787450618322
FITO COLÁGENO MARINO HIDROLIZADO + MAGNESIO X 90 CAP,Mejora elasticidad y firmeza de piel,ACCIÓN GENERAL,1.0
FITO COLÁGENO MARINO HIDROLIZADO + MAGNESIO X 90 CAP,Apoyo en salud de uñas y cabello,ACCIÓN GENERAL,1.0
FITO COLÁGENO MARINO HIDROLIZADO + MAGNESIO X 90 CAP,Apoyo en recuperación muscular y tendinosa,ACCIÓN GENERAL,0.806416929753716
FITO COLÁGENO MARINO HIDROLIZADO + MAGNESIO X 90 CAP,COMBINACIONES: Artrifit (dolor e inflamación),ACCIÓN GENERAL,0.42652197210563425
FITO COLÁGENO MARINO HIDROLIZADO + MAGNESIO X 90 CAP,Biotina (cabello y uñas),ACCIÓN GENERAL,1.0
FITO COLÁGENO MARINO PLUS x 400 GR,cartílago,ACCIÓN GENERAL,0.6100021033382514
FITO COLÁGENO MARINO PLUS x 400 GR,tendones y ligamentos,ACCIÓN GENERAL,1.0
FITO COLÁGENO MARINO PLUS x 400 GR,Apoyo en dolor articular fuerte y rigidez (coadyuvante),ACCIÓN GENERAL,0.7869056814781753
FITO COLÁGENO MARINO PLUS x 400 GR,Apoyo en firmeza y elasticidad de piel,ACCIÓN GENERAL,1.0
FITO CRANBERRY EXTRACT X 60 CAP,Reduce adherencia de E. coli a la pared vesical,ACCIÓN GENERAL,0.6057221458045972
FITO CRANBERRY EXTRACT X 60 CAP,Apoyo en prevención de cistitis recurrente,ACCIÓN GENERAL,0.7862333694096569
FITO CRANBERRY EXTRACT X 60 CAP,Apoyo urinario en hombres con síntomas prostáticos,ACCIÓN GENERAL,0.7670459684923836
FITO CRANBERRY EXTRACT X 60 CAP,Apoyo post antibiótico en salud urinaria,ACCIÓN GENERAL,1.0
FITO CRANBERRY EXTRACT X 60 CAP,Biotics (microbiota + prevención),ACCIÓN GENERAL,1.0
FITO DESPIGMENTADORA CLYAX x 80 GR,Apoyo en aclarado progresivo de hiperpigmentación,ACCIÓN GENERAL,1.0
FITO DESPIGMENTADORA CLYAX x 80 GR,Acción antioxidante,ACCIÓN GENERAL,0.8603817352982729
FITO DESPIGMENTADORA CLYAX x 80 GR,Apoyo en renovación cutánea nocturna,ACCIÓN GENERAL,0.799258302300541
FITO DESPIGMENTADORA CLYAX x 80 GR,Mejora tono desigual,ACCIÓN GENERAL,1.0
FITO DESPIGMENTADORA CLYAX x 80 GR,Uso nocturno por posible fotosensibilidad,ACCIÓN GENERAL,0.4348612902084184
FITO DESPIGMENTADORA CLYAX x 80 GR,Isoflavonas (manchas hormonales/perimenopausia),ACCIÓN GENERAL,0.7978979828795048
FITO DUNPLUS X 60 CAP,Apoyo en control del apetito,ACCIÓN GENERAL,0.8316574723722543
FITO DUNPLUS X 60 CAP,Apoyo en reducción de antojos,ACCIÓN GENERAL,0.8676426117629181
FITO DUNPLUS X 60 CAP,Apoyo en activación metabólica,ACCIÓN GENERAL,0.6360061609171428
FITO DUNPLUS X 60 CAP,Apoyo en control de grasa corporal (coadyuvante),ACCIÓN GENERAL,0.8918938604760074
FITO DUNPLUS X 60 CAP,Apoyo en metabolismo de glucosa (cromo),ACCIÓN GENERAL,0.40660116166277216
FITO DUNPLUS X 60 CAP,Apoyo indirecto en tránsito intestinal en algunos casos como parte de planes de control de peso,ACCIÓN GENERAL,1.0
FITO DUNPLUS X 60 CAP,Fibra Fitomedic’s (saciedad/estreñimiento),ACCIÓN GENERAL,0.6404452794429464
FITO DUNPLUS X 60 CAP,Isowoan (sobrepeso hormonal/perimenopausia),ACCIÓN GENERAL,0.5881763474030582
FITO DUNPLUS X 60 CAP,Maca (apoyo en fatiga hormonal,ACCIÓN GENERAL,0.42879585467541553
FITO DUNPLUS X 60 CAP,Esencia floral Vicios (ansiedad por comer),ACCIÓN GENERAL,0.4104114123127318
FITO EQUINACEA X 100 CAP,Estimula respuesta inmunológica,ACCIÓN GENERAL,1.0
FITO EQUINACEA X 100 CAP,Apoyo en prevención de resfriados recurrentes,ACCIÓN GENERAL,0.589876252691584
FITO EQUINACEA X 100 CAP,Apoyo en reducción de duración e intensidad de gripa (coadyuvante),ACCIÓN GENERAL,0.7934969426708949
FITO EQUINACEA X 100 CAP,Apoyo en recuperación del sistema inmune,ACCIÓN GENERAL,0.8291058148812563
FITO EQUINACEA X 100 CAP,Apoyo en modulación de respuesta inmune en rinitis y alergias leves (coadyuvante),ACCIÓN GENERAL,0.7958030875779021
FITO EQUINACEA X 100 CAP,MODO DE ACCIÓN: apoyo en fagocitosis y actividad de células inmunes,ACCIÓN GENERAL,0.8273205880817457
FITO EQUINACEA X 100 CAP,COMBINACIONES: Propolfit (garganta + defensas),ACCIÓN GENERAL,0.6002786487506981
FITO EQUINACEA X 100 CAP,Bloq Tos (tos e irritación),ACCIÓN GENERAL,0.8000283824645457
FITO EQUINACEA X 100 CAP,Gel de Caléndula (apoyo tópico en piel irritada),ACCIÓN GENERAL,1.0
FITO EQUINACEA X 100 CAP,Ashwagandha (estrés/soporte inmune,ACCIÓN GENERAL,0.43529204021459234
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Apoyo en equilibrio emocional tras eventos impactantes (sustos,ACCIÓN GENERAL,1.0
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Apoyo en regulación emocional en personas hipersensibles,ACCIÓN GENERAL,0.8082478055164534
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Apoyo en irritabilidad y cambios de humor,ACCIÓN GENERAL,0.5838482451126755
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Apoyo en estabilidad emocional en niños y adolescentes,ACCIÓN GENERAL,0.7858978467566982
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,MODO DE ACCIÓN: armonización emocional (enfoque floral),ACCIÓN GENERAL,1.0
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,COMBINACIONES: Esencia Rescate (crisis emocional aguda),ACCIÓN GENERAL,0.8790418213506809
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Ashwagandha (estrés crónico,ACCIÓN GENERAL,0.49830014350795493
FITO ESENCIA ESTRELLA DE BELEN x 25 ML,Valeriana o Melatonina (insomnio asociado),ACCIÓN GENERAL,0.3973968825090539
FITO ESENCIA INSOMNIO x 25 ML,Apoyo en mente acelerada e impaciencia,ACCIÓN GENERAL,0.8102405869859173
FITO ESENCIA INSOMNIO x 25 ML,Apoyo en sueño más reparador cuando el origen es emocional,ACCIÓN GENERAL,0.525416882120552
FITO ESENCIA INSOMNIO x 25 ML,Apoyo en adaptación a cambios que alteran el descanso,ACCIÓN GENERAL,0.5882382375617674
FITO ESENCIA INSOMNIO x 25 ML,MODO DE ACCIÓN: armonización emocional para favorecer el descanso (enfoque floral),ACCIÓN GENERAL,0.8581814017830077
FITO ESENCIA INSOMNIO x 25 ML,Ashwagandha (estrés crónico),ACCIÓN GENERAL,0.5243559346806292
FITO ESENCIA PASSIFLORA x 25 ML,Apoyo en reducción de ansiedad leve,ACCIÓN GENERAL,0.7905964537777496
FITO ESENCIA PASSIFLORA x 25 ML,Apoyo en relajación emocional,ACCIÓN GENERAL,0.793287319484426
FITO ESENCIA PASSIFLORA x 25 ML,Apoyo en conciliación del sueño cuando hay nerviosismo,ACCIÓN GENERAL,0.5947092556507722
FITO ESENCIA PASSIFLORA x 25 ML,Apoyo en gastritis asociada a estrés,ACCIÓN GENERAL,1.0
FITO ESENCIA PASSIFLORA x 25 ML,Apoyo en regulación de tensión nerviosa,ACCIÓN GENERAL,0.8133667934491068
FITO ESENCIA PASSIFLORA x 25 ML,MODO DE ACCIÓN: armonización emocional y apoyo en regulación de tensión nerviosa (enfoque floral),ACCIÓN GENERAL,0.8770076523846602
FITO ESENCIA PASSIFLORA x 25 ML,Melatonina (regulación fisiológica del sueño),ACCIÓN GENERAL,0.40031481265364477
FITO ESENCIA PASSIFLORA x 25 ML,Ashwagandha (estrés crónico),ACCIÓN GENERAL,0.5243559346806292
FITO ESENCIA PASSIFLORA x 25 ML,Caléndula cápsulas (gastritis inflamatoria),ACCIÓN GENERAL,0.6335781296900954
FITO ESENCIA RESCATE x 25 ML,Apoyo en estabilización emocional en crisis,ACCIÓN GENERAL,0.8131925684229772
FITO ESENCIA RESCATE x 25 ML,Apoyo en ataques de ansiedad y pánico (coadyuvante),ACCIÓN GENERAL,0.605297912542578
FITO ESENCIA RESCATE x 25 ML,Apoyo en shock emocional,ACCIÓN GENERAL,0.8134765354797467
FITO ESENCIA RESCATE x 25 ML,Apoyo en tensión,ACCIÓN GENERAL,1.0
FITO ESENCIA RESCATE x 25 ML,irritabilidad y descontrol emocional,ACCIÓN GENERAL,0.554235978527688
FITO ESENCIA RESCATE x 25 ML,Apoyo en momentos de tristeza intensa y bajón emocional,ACCIÓN GENERAL,1.0
FITO ESENCIA RESCATE x 25 ML,MODO DE ACCIÓN: armonización emocional para estabilización rápida (enfoque floral),ACCIÓN GENERAL,0.8877617877378418
FITO ESENCIA RESCATE x 25 ML,Ashwagandha (estrés crónico,ACCIÓN GENERAL,0.49830001535261825
